deal_id,touchpoint_date,channel,campaign_name,content_asset,touchpoint_type,funnel_stage_at_touch,contact_role
DEAL-011,2026-01-02,Email Campaigns,Re-engagement,New Feature Alert,email_open,mql,Marketing Analyst
DEAL-011,2026-01-08,Email Campaigns,Nurture Sequences,Welcome Series Email,email_open,mql,Director of Ops
DEAL-011,2026-01-18,LinkedIn,InMail,Executive Briefing Invite,content_download,mql,Director of Ops
DEAL-011,2026-01-25,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,sql,CFO
DEAL-011,2026-02-04,LinkedIn,Conversation Ads,Quick Demo Scheduler,content_download,sql,CFO
DEAL-011,2026-02-10,LinkedIn,InMail,Executive Briefing Invite,page_visit,sql,Director of Ops
DEAL-011,2026-02-17,LinkedIn,InMail,Executive Briefing Invite,content_download,opportunity,Director of Ops
DEAL-011,2026-02-20,Email Campaigns,Product Updates,Platform Update Newsletter,page_visit,opportunity,Director of Ops
DEAL-011,2026-02-28,Email Campaigns,Product Updates,Feature Launch Announcement,email_click,opportunity,CFO
DEAL-012,2026-05-02,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_click,lead,Director of Marketing
DEAL-012,2026-06-14,Google Ads,Retargeting,Case Study LP,ad_click,opportunity,Director of Marketing
DEAL-013,2025-12-31,Content Marketing,Webinars,Pipeline Analytics Deep Dive,content_download,lead,Product Manager
DEAL-013,2026-01-31,LinkedIn,Conversation Ads,Quick Demo Scheduler,page_visit,sql,Head of Demand Gen
DEAL-013,2026-02-27,Content Marketing,Webinars,Pipeline Analytics Deep Dive,content_download,opportunity,Head of Demand Gen
DEAL-014,2026-03-12,Content Marketing,Blog/SEO,Channel ROI Framework,email_click,lead,Marketing Director
DEAL-014,2026-03-21,Events,Hosted Roundtables,CMO Dinner: Attribution in Practice,webinar_attendance,lead,Marketing Director
DEAL-014,2026-04-06,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,mql,Marketing Director
DEAL-014,2026-04-15,Content Marketing,Webinars,CMO Metrics That Matter,email_click,mql,Marketing Director
DEAL-014,2026-04-29,Google Ads,Brand Search,Pricing Page,ad_click,sql,CMO
DEAL-014,2026-05-07,Content Marketing,Webinars,Revenue Ops Workshop,page_visit,sql,Marketing Director
DEAL-014,2026-05-20,Content Marketing,Blog/SEO,Channel ROI Framework,content_download,opportunity,CMO
DEAL-014,2026-05-31,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,content_download,opportunity,Marketing Director
DEAL-015,2025-07-24,Outbound BDR,Warm Follow-up,Post-Event Follow-up Call,email_open,lead,Head of Demand Gen
DEAL-015,2025-08-16,Content Marketing,Webinars,CMO Metrics That Matter,page_visit,sql,CTO
DEAL-015,2025-09-04,Events,Partner Events,Salesforce Dreamforce Session,webinar_attendance,opportunity,Head of Demand Gen
DEAL-016,2026-04-10,Google Ads,Retargeting,Case Study LP,page_visit,lead,VP Sales
DEAL-016,2026-04-15,Outbound BDR,Cold Outbound,Cold Email Sequence,email_click,mql,VP Sales
DEAL-016,2026-04-16,Outbound BDR,Warm Follow-up,Content Download Follow-up,email_open,sql,VP Sales
DEAL-016,2026-04-19,Email Campaigns,Nurture Sequences,Welcome Series Email,page_visit,opportunity,CMO
DEAL-016,2026-04-22,Outbound BDR,Cold Outbound,Cold Email Sequence,email_open,opportunity,CMO
DEAL-017,2026-03-29,Content Marketing,Webinars,CMO Metrics That Matter,content_download,lead,Director of Ops
DEAL-017,2026-05-05,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,content_download,sql,CMO
DEAL-017,2026-06-06,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,content_download,opportunity,VP Sales
DEAL-018,2025-12-07,Google Ads,Brand Search,Product Overview Page,ad_click,lead,Marketing Director
DEAL-018,2025-12-07,Google Ads,Brand Search,Brand Landing Page,ad_click,lead,Marketing Director
DEAL-018,2025-12-10,Events,Partner Events,Salesforce Dreamforce Session,event_attendance,lead,Marketing Manager
DEAL-018,2025-12-11,Events,Hosted Roundtables,CMO Dinner: Attribution in Practice,webinar_attendance,mql,Marketing Director
DEAL-018,2025-12-12,Events,Partner Events,Salesforce Dreamforce Session,event_attendance,mql,Marketing Director
DEAL-018,2025-12-15,Events,Hosted Roundtables,VP Marketing Roundtable,webinar_attendance,sql,VP Marketing
DEAL-018,2025-12-17,Outbound BDR,Inbound Response,Pricing Inquiry Call,sales_call,sql,VP Marketing
DEAL-018,2025-12-19,Email Campaigns,Re-engagement,New Feature Alert,page_visit,opportunity,Marketing Director
DEAL-018,2025-12-21,Outbound BDR,Warm Follow-up,Post-Event Follow-up Call,email_open,opportunity,VP Marketing
DEAL-018,2025-12-22,Email Campaigns,Re-engagement,We Miss You Email,email_open,opportunity,Marketing Director
DEAL-019,2026-04-16,Google Ads,Non-Brand Search,Pipeline Analytics LP,ad_click,lead,Content Strategist
DEAL-019,2026-06-30,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,content_download,opportunity,Marketing Director
DEAL-020,2025-12-27,Outbound BDR,Warm Follow-up,Content Download Follow-up,email_click,lead,Marketing Director
DEAL-020,2026-01-16,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,mql,Marketing Director
DEAL-020,2026-01-29,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,page_visit,sql,CFO
DEAL-020,2026-02-17,Content Marketing,Webinars,Attribution Masterclass,page_visit,opportunity,Marketing Director
DEAL-021,2026-05-30,Email Campaigns,Re-engagement,We Miss You Email,page_visit,lead,Director of Ops
DEAL-021,2026-06-15,Google Ads,Brand Search,Product Overview Page,page_visit,sql,Director of Ops
DEAL-021,2026-06-27,Email Campaigns,Nurture Sequences,Welcome Series Email,email_click,opportunity,CEO
DEAL-022,2026-02-02,Google Ads,Retargeting,Case Study LP,page_visit,lead,Content Strategist
DEAL-022,2026-02-06,Google Ads,Retargeting,Case Study LP,page_visit,lead,Director of Marketing
DEAL-022,2026-02-11,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,mql,Director of Marketing
DEAL-022,2026-02-21,Email Campaigns,Product Updates,Feature Launch Announcement,email_click,mql,Director of Marketing
DEAL-022,2026-02-25,Google Ads,Non-Brand Search,ROI Calculator Page,page_visit,sql,CMO
DEAL-022,2026-02-27,Email Campaigns,Nurture Sequences,Product Education Drip,email_open,sql,Director of Marketing
DEAL-022,2026-03-11,Email Campaigns,Product Updates,Feature Launch Announcement,page_visit,opportunity,CMO
DEAL-022,2026-03-14,Email Campaigns,Product Updates,Feature Launch Announcement,email_open,opportunity,Director of Marketing
DEAL-023,2026-01-14,Google Ads,Non-Brand Search,Attribution Guide LP,ad_click,lead,Content Strategist
DEAL-023,2026-01-26,Google Ads,Brand Search,Brand Landing Page,page_visit,lead,Marketing Manager
DEAL-023,2026-02-09,Outbound BDR,Inbound Response,Pricing Inquiry Call,email_click,lead,Marketing Manager
DEAL-023,2026-03-01,LinkedIn,Conversation Ads,Interactive Product Tour,content_download,mql,Marketing Manager
DEAL-023,2026-03-12,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,mql,CFO
DEAL-023,2026-03-30,LinkedIn,Sponsored Content,Customer Success Story,content_download,sql,CFO
DEAL-023,2026-04-13,LinkedIn,Sponsored Content,Customer Success Story,content_download,sql,CFO
DEAL-023,2026-04-27,Email Campaigns,Nurture Sequences,Customer Testimonial Email,page_visit,opportunity,CFO
DEAL-023,2026-05-15,Google Ads,Non-Brand Search,ROI Calculator Page,ad_click,opportunity,CFO
DEAL-023,2026-05-27,Google Ads,Retargeting,Case Study LP,page_visit,opportunity,CFO
DEAL-024,2025-11-30,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,lead,Director of Ops
DEAL-024,2025-12-02,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,mql,Director of Ops
DEAL-024,2025-12-12,Outbound BDR,Inbound Response,Free Trial Onboarding Call,sales_call,sql,CFO
DEAL-024,2025-12-20,Google Ads,Brand Search,Pricing Page,page_visit,opportunity,CFO
DEAL-024,2025-12-29,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,email_click,opportunity,CTO
DEAL-025,2026-03-21,Google Ads,Non-Brand Search,Pipeline Analytics LP,ad_click,lead,Director of Marketing
DEAL-025,2026-03-26,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,lead,Director of Marketing
DEAL-025,2026-04-06,Google Ads,Brand Search,Product Overview Page,ad_click,mql,Director of Marketing
DEAL-025,2026-04-11,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,sql,Director of Marketing
DEAL-025,2026-04-19,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,content_download,opportunity,CFO
DEAL-025,2026-04-27,Google Ads,Non-Brand Search,Pipeline Analytics LP,ad_click,opportunity,Director of Marketing
DEAL-026,2025-09-10,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_open,lead,Director of Marketing
DEAL-026,2025-10-02,LinkedIn,Conversation Ads,Interactive Product Tour,content_download,sql,CEO
DEAL-026,2025-10-23,Email Campaigns,Nurture Sequences,Product Education Drip,email_open,opportunity,Director of Marketing
DEAL-027,2026-03-31,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_click,lead,Product Manager
DEAL-027,2026-05-01,LinkedIn,Conversation Ads,Quick Demo Scheduler,page_visit,sql,VP Marketing
DEAL-027,2026-05-30,Outbound BDR,Inbound Response,Pricing Inquiry Call,email_open,opportunity,VP Marketing
DEAL-028,2025-09-05,Email Campaigns,Product Updates,Platform Update Newsletter,page_visit,lead,Marketing Analyst
DEAL-028,2025-09-08,Outbound BDR,Cold Outbound,Cold Email Sequence,sales_call,lead,Marketing Analyst
DEAL-028,2025-09-14,Google Ads,Retargeting,Case Study LP,page_visit,mql,Marketing Analyst
DEAL-028,2025-09-19,Email Campaigns,Re-engagement,Special Offer Email,page_visit,sql,CMO
DEAL-028,2025-09-27,Google Ads,Brand Search,Brand Landing Page,page_visit,sql,CMO
DEAL-028,2025-09-27,Content Marketing,Webinars,Attribution Masterclass,content_download,opportunity,CMO
DEAL-028,2025-10-06,Email Campaigns,Product Updates,Platform Update Newsletter,page_visit,opportunity,VP Marketing
DEAL-029,2025-10-10,Google Ads,Retargeting,Demo Request Page,page_visit,lead,Product Manager
DEAL-029,2025-10-26,Content Marketing,Webinars,Attribution Masterclass,content_download,mql,Product Manager
DEAL-029,2025-11-09,Google Ads,Retargeting,Demo Request Page,ad_click,sql,Product Manager
DEAL-029,2025-11-22,Email Campaigns,Re-engagement,We Miss You Email,page_visit,opportunity,CTO
DEAL-029,2025-12-11,Content Marketing,Webinars,Revenue Ops Workshop,page_visit,opportunity,VP Marketing
DEAL-030,2025-08-01,Content Marketing,Webinars,CMO Metrics That Matter,email_click,lead,Marketing Director
DEAL-030,2025-08-02,Outbound BDR,Inbound Response,Free Trial Onboarding Call,sales_call,lead,Marketing Analyst
DEAL-030,2025-08-06,Google Ads,Non-Brand Search,ROI Calculator Page,page_visit,lead,Product Manager
DEAL-030,2025-08-06,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,mql,Head of Demand Gen
DEAL-030,2025-08-10,Outbound BDR,Inbound Response,Pricing Inquiry Call,email_open,mql,Head of Demand Gen
DEAL-030,2025-08-11,Content Marketing,Webinars,CMO Metrics That Matter,email_click,sql,Head of Demand Gen
DEAL-030,2025-08-12,Content Marketing,Blog/SEO,Pipeline Velocity Best Practices,page_visit,sql,Product Manager
DEAL-030,2025-08-14,Email Campaigns,Nurture Sequences,Product Education Drip,page_visit,opportunity,Product Manager
DEAL-030,2025-08-15,Email Campaigns,Nurture Sequences,Use Case Showcase,page_visit,sql,Head of Demand Gen
DEAL-030,2025-08-21,Content Marketing,Webinars,Revenue Ops Workshop,email_click,opportunity,Product Manager
DEAL-030,2025-08-21,Content Marketing,Blog/SEO,Pipeline Velocity Best Practices,email_click,opportunity,Marketing Director
DEAL-031,2025-07-20,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,lead,Director of Marketing
DEAL-031,2025-09-26,Google Ads,Brand Search,Brand Landing Page,page_visit,opportunity,Director of Marketing
DEAL-032,2025-08-19,Google Ads,Non-Brand Search,ROI Calculator Page,ad_click,lead,Content Strategist
DEAL-032,2025-08-29,Email Campaigns,Re-engagement,Special Offer Email,email_open,lead,Marketing Manager
DEAL-032,2025-09-10,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,sales_call,mql,Marketing Manager
DEAL-032,2025-09-27,Outbound BDR,Inbound Response,Pricing Inquiry Call,email_click,mql,VP Marketing
DEAL-032,2025-10-11,Email Campaigns,Product Updates,Integration Release Email,page_visit,sql,Head of Demand Gen
DEAL-032,2025-10-22,LinkedIn,Conversation Ads,Interactive Product Tour,content_download,sql,VP Marketing
DEAL-032,2025-11-06,Email Campaigns,Nurture Sequences,Welcome Series Email,page_visit,opportunity,Head of Demand Gen
DEAL-032,2025-11-14,Email Campaigns,Re-engagement,Special Offer Email,email_open,opportunity,Head of Demand Gen
DEAL-032,2025-11-29,Email Campaigns,Re-engagement,We Miss You Email,email_click,opportunity,Head of Demand Gen
DEAL-033,2025-07-12,Google Ads,Non-Brand Search,ROI Calculator Page,page_visit,lead,Digital Marketing Specialist
DEAL-033,2025-08-01,Content Marketing,Ebooks/Guides,B2B Marketing Measurement Guide,email_click,mql,Director of Marketing
DEAL-033,2025-08-19,Google Ads,Brand Search,Pricing Page,ad_click,sql,CMO
DEAL-033,2025-09-05,Google Ads,Retargeting,Case Study LP,ad_click,opportunity,Director of Marketing
DEAL-033,2025-09-25,Content Marketing,Ebooks/Guides,B2B Marketing Measurement Guide,email_click,opportunity,CMO
DEAL-034,2025-07-19,Email Campaigns,Product Updates,Platform Update Newsletter,email_click,lead,Marketing Analyst
DEAL-034,2025-07-21,Email Campaigns,Re-engagement,New Feature Alert,page_visit,lead,Digital Marketing Specialist
DEAL-034,2025-07-25,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,mql,VP Marketing
DEAL-034,2025-07-26,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,mql,SDR/BDR
DEAL-034,2025-08-03,Email Campaigns,Nurture Sequences,Use Case Showcase,email_open,sql,VP Marketing
DEAL-034,2025-08-04,Email Campaigns,Nurture Sequences,Customer Testimonial Email,page_visit,sql,VP Marketing
DEAL-034,2025-08-05,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,opportunity,VP Marketing
DEAL-034,2025-08-07,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,opportunity,VP Marketing
DEAL-035,2025-10-06,Outbound BDR,Warm Follow-up,Post-Event Follow-up Call,email_open,lead,Content Strategist
DEAL-035,2025-10-09,Events,Conferences,MarTech Conference,event_attendance,lead,Head of Demand Gen
DEAL-035,2025-10-13,Events,Hosted Roundtables,CMO Dinner: Attribution in Practice,event_attendance,mql,Content Strategist
DEAL-035,2025-10-22,Events,Partner Events,HubSpot INBOUND Talk,event_attendance,sql,CMO
DEAL-035,2025-10-22,Content Marketing,Webinars,Revenue Ops Workshop,content_download,sql,Head of Demand Gen
DEAL-035,2025-10-30,Email Campaigns,Product Updates,Feature Launch Announcement,email_open,opportunity,CMO
DEAL-035,2025-11-03,Events,Conferences,SaaStr Annual Booth,event_attendance,opportunity,CEO
DEAL-036,2026-03-07,Google Ads,Non-Brand Search,ROI Calculator Page,page_visit,lead,SDR/BDR
DEAL-036,2026-03-30,Events,Hosted Roundtables,RevOps Leaders Forum,event_attendance,mql,SDR/BDR
DEAL-036,2026-04-25,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,email_click,sql,CFO
DEAL-036,2026-05-20,Email Campaigns,Product Updates,Platform Update Newsletter,page_visit,opportunity,CFO
DEAL-037,2025-07-27,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_open,lead,Head of Demand Gen
DEAL-037,2025-08-11,Google Ads,Retargeting,Case Study LP,page_visit,lead,Head of Demand Gen
DEAL-037,2025-08-30,Google Ads,Brand Search,Pricing Page,page_visit,mql,Director of Ops
DEAL-037,2025-09-19,Outbound BDR,Warm Follow-up,Referral Introduction Call,sales_call,sql,CTO
DEAL-037,2025-10-04,Outbound BDR,Warm Follow-up,Content Download Follow-up,sales_call,sql,Director of Ops
DEAL-037,2025-10-19,Outbound BDR,Inbound Response,Free Trial Onboarding Call,email_click,opportunity,Director of Ops
DEAL-037,2025-11-06,Email Campaigns,Product Updates,Integration Release Email,email_open,opportunity,Head of Demand Gen
DEAL-038,2025-09-06,Google Ads,Brand Search,Product Overview Page,ad_click,lead,Product Manager
DEAL-038,2025-09-13,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,sales_call,sql,Marketing Director
DEAL-038,2025-09-21,Content Marketing,Webinars,Attribution Masterclass,content_download,opportunity,Marketing Director
DEAL-039,2026-02-11,Google Ads,Non-Brand Search,ROI Calculator Page,page_visit,lead,Marketing Analyst
DEAL-039,2026-03-06,LinkedIn,Conversation Ads,Interactive Product Tour,content_download,mql,Marketing Director
DEAL-039,2026-03-29,Email Campaigns,Re-engagement,New Feature Alert,email_open,sql,Marketing Director
DEAL-039,2026-04-17,LinkedIn,InMail,Executive Briefing Invite,content_download,opportunity,CEO
DEAL-040,2025-07-19,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,sales_call,lead,Director of Marketing
DEAL-040,2025-08-05,LinkedIn,InMail,Executive Briefing Invite,page_visit,lead,Director of Marketing
DEAL-040,2025-08-15,Outbound BDR,Warm Follow-up,Content Download Follow-up,sales_call,mql,CMO
DEAL-040,2025-08-29,LinkedIn,Sponsored Content,Customer Success Story,ad_click,sql,CEO
DEAL-040,2025-09-12,Content Marketing,Webinars,Pipeline Analytics Deep Dive,content_download,opportunity,CFO
DEAL-040,2025-09-25,Email Campaigns,Nurture Sequences,Customer Testimonial Email,email_click,opportunity,Director of Marketing
DEAL-041,2026-02-04,Outbound BDR,Cold Outbound,Cold Email Sequence,email_open,lead,Digital Marketing Specialist
DEAL-041,2026-02-13,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,mql,Content Strategist
DEAL-041,2026-02-24,LinkedIn,InMail,Executive Briefing Invite,content_download,sql,Marketing Director
DEAL-041,2026-03-08,LinkedIn,InMail,Personalized Demo Invite,content_download,opportunity,CMO
DEAL-041,2026-03-15,Email Campaigns,Nurture Sequences,Product Education Drip,page_visit,opportunity,CMO
DEAL-042,2025-09-24,Google Ads,Brand Search,Brand Landing Page,page_visit,lead,Digital Marketing Specialist
DEAL-042,2025-09-25,Outbound BDR,Inbound Response,Demo Request Response,email_click,lead,Content Strategist
DEAL-042,2025-09-29,Google Ads,Brand Search,Pricing Page,page_visit,lead,Content Strategist
DEAL-042,2025-10-03,Google Ads,Retargeting,Demo Request Page,page_visit,mql,Head of Demand Gen
DEAL-042,2025-10-04,Google Ads,Non-Brand Search,ROI Calculator Page,ad_click,mql,Head of Demand Gen
DEAL-042,2025-10-05,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,page_visit,mql,CFO
DEAL-042,2025-10-07,Content Marketing,Ebooks/Guides,B2B Marketing Measurement Guide,email_click,sql,Head of Demand Gen
DEAL-042,2025-10-10,Google Ads,Non-Brand Search,Attribution Guide LP,ad_click,sql,CFO
DEAL-042,2025-10-13,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,page_visit,sql,Head of Demand Gen
DEAL-042,2025-10-14,Content Marketing,Webinars,CMO Metrics That Matter,email_click,opportunity,CFO
DEAL-042,2025-10-16,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,email_click,opportunity,Head of Demand Gen
DEAL-042,2025-10-17,Email Campaigns,Nurture Sequences,Product Education Drip,email_click,opportunity,CFO
DEAL-043,2025-08-17,Google Ads,Brand Search,Brand Landing Page,page_visit,lead,Product Manager
DEAL-043,2025-08-23,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_open,lead,Digital Marketing Specialist
DEAL-043,2025-08-29,Google Ads,Non-Brand Search,Attribution Guide LP,ad_click,lead,Digital Marketing Specialist
DEAL-043,2025-09-01,Google Ads,Brand Search,Brand Landing Page,ad_click,mql,Product Manager
DEAL-043,2025-09-09,LinkedIn,InMail,Product Update Announcement,ad_click,mql,CMO
DEAL-043,2025-09-11,Google Ads,Brand Search,Brand Landing Page,page_visit,mql,Product Manager
